smiles,id-num,id,database,db_id,similarity,caco2_wang,clearance_hepatocyte_az,clearance_microsome_az,half_life_obach,ld50_zhu,lipophilicity_astrazeneca,ppbr_az,solubility_aqsoldb,vdss_lombardo,ames,bbb_martins,bioavailability_ma,cyp2c9_substrate_carbonmangels,cyp2c9_veith,cyp2d6_substrate_carbonmangels,cyp2d6_veith,cyp3a4_substrate_carbonmangels,cyp3a4_veith,dili,herg,hia_hou,pgp_broccatelli,molecular_weight,formal_charge,clogp,heavy_atoms,h_bond_acceptors,h_bond_donor,rotatable_bonds,num_of_rings,molar_refractivity,number_of_atoms,topological_surface_area_mapping,vina_affinity
CC(C)CCNc1nc(Nc2ccc(F)c(F)c2F)c2cnn(C)c2n1,21,MCULE-3513734919-DMCH,MCULE-FULL,21582236,0.83639,-4.796178341,66.74506378173828,68.93905639648438,17.67485809326172,2.623638391494751,2.562638759613037,93.08066559,-4.531183243,6.515629768371582,0.3239866197109222,0.973266602,0.9973573088645936,0.1456478685140609,0.9100196957588196,0.4917677044868469,0.2742790579795837,0.9986924529075624,0.1111446321010589,0.6629593372344971,0.925487757,0.9999223947525024,0.0114734461531043,364.1623292680001,0,3.9822000000000024,26,6,2,6,3,93.84740000000004,26,67.66,-9.05
CCCCCNc1nc(Nc2cc(F)ccc2F)c2cnn(C)c2n1,22,MCULE-7716652638-DMCH,MCULE-FULL,21579590,0.83596,-4.686830997,81.56926727294922,34.04881668,59.27392578,2.611379384994507,2.658008813858032,92.67430114746094,-4.306162834,9.616955757141112,0.5676594376564026,0.8900395631790161,0.9946147799491882,0.1054100319743156,0.2146514952182769,0.003363078,0.8045703172683716,0.9974501729011536,0.3570128381252289,0.7904636859893799,0.9852889180183412,0.9999550580978394,0.047790557,346.1717510800001,0,3.9872000000000023,25,6,2,7,3,93.95940000000004,25,67.66,-8.828
CCCCNc1nc(Nc2ccccc2F)c2cnn(C)c2n1,23,MCULE-1208104971-DMCH,MCULE-FULL,21567358,0.83573,-4.647926331,95.87322998046876,39.43440628051758,3.3737728595733643,2.5915749073028564,2.9876105785369873,84.31872559,-4.184986591,5.275205612182617,0.9765353798866272,0.9786293506622314,0.9990726709365844,0.0133686698973178,0.1311650723218917,0.0403988175094127,0.086718075,0.9918251037597656,0.1267412900924682,0.8025456666946411,0.887821615,0.9999498128890992,0.008568169,314.16552282800006,0,3.458000000000001,23,6,2,6,3,89.38440000000003,23,67.66,-8.654
CC(C)CCNc1nc(Nc2ccccc2)c2cnn(C)c2n1,24,MCULE-4255680630-DMCH,MCULE-FULL,1881905,0.83527,-4.74412632,82.55635070800781,96.09854888916016,5.386789798736572,2.488907814025879,2.8379788398742676,93.14510345458984,-3.858551979,2.814293384552002,0.90580952167511,0.9808789491653442,0.9979128241539,0.0493279732763767,0.5818368196487427,0.9277429580688475,0.6509789824485779,0.9864078760147096,0.009636728,0.4750978946685791,0.838189423,0.9999361038208008,0.00699923,310.1905947,0,3.5649000000000015,23,6,2,6,3,93.97340000000004,23,67.66,-8.222
c1ccc(CNc2nc(Nc3cc(C4CC4)[nH]n3)c3sccc3n2)cc1,25,MCULE-6537657184-DMCH,MCULE-FULL,41757739,0.83505,-5.230181694,81.56244659423828,84.24041748046875,15.874333381652832,2.3364644050598145,4.130003452301025,95.06076049804688,-4.078444958,2.156566619873047,0.9933483004570008,0.9835033416748048,0.9994171857833862,0.0243585146963596,0.9162231087684632,0.0105203259736299,0.9594032764434814,0.0169191807508468,0.9999988079071044,0.9983737468719482,0.9028307795524596,0.9999567270278932,0.8773375749588013,362.1313656,0,4.647500000000003,26,6,3,6,5,105.0291,26,78.52,-9.314
COCCNc1nc(Nc2ccc(F)c(F)c2F)c2cnn(C)c2n1,26,MCULE-5625702067-DMCH,MCULE-FULL,21572502,0.83465,-4.602611542,31.86096954345703,54.19498443603515,2.5479955673217773,2.3270444869995117,2.3610334396362305,77.58982086,-3.839823246,3.2913103103637695,0.8946716785430908,0.9566894173622132,0.99766314,0.4899178147315979,0.0207403227686882,0.0102622220292687,0.2689842283725738,0.9997883439064026,0.4979121088981628,0.9487927556037904,0.8259037733078003,0.999909281730652,0.00254488,352.1259437600001,0,2.5825000000000005,25,7,2,6,3,86.26840000000001,25,76.89,-8.415
CCCCNc1nc(Nc2ccc3nc[nH]c3c2)c2cnn(C)c2n1,27,MCULE-4368839732-DMCH,MCULE-FULL,21567612,0.83457,-5.369637012,57.862022399902344,50.03871536254883,25.698945999145508,2.597156524658203,2.989923000335694,95.9562530517578,-3.661313057,5.998682975769043,0.9981358051300048,0.6861321926116943,0.9651588797569276,0.004805952,0.5141000747680664,0.016027832,0.2681386768817901,0.9745048880577089,0.8279734253883362,0.8182492852210999,0.7380266785621643,0.9989051818847656,0.087955341,336.18109264000003,0,3.1952000000000007,25,7,3,6,4,99.07810000000002,25,96.34,-8.705
Cc1cc(Cl)ccc1Nc1nc(NCCCN(C)C)nc2c1cnn2C,28,MCULE-3990725420-DMCH,MCULE-FULL,21601434,0.83454,-5.240781307,32.9609375,48.560211181640625,27.27119827270508,2.598718643188477,2.918492078781128,83.73614501953125,-3.949935198,7.930239200592041,0.599215567,0.9977333545684814,0.9863798022270204,0.005896164,0.2787412703037262,0.6006572246551514,0.2354248911142349,0.9822335839271544,0.5619322061538696,0.4547253251075744,0.999821960926056,0.9997796416282654,0.2064776718616485,373.17817144800006,0,3.4323200000000016,26,7,2,7,3,107.43640000000003,26,70.9,-8.675
COc1ccc(CNc2nc(Nc3ccccc3)c3cnn(C)c3n2)cc1,29,MCULE-9470409899-DMCH,MCULE-FULL,21665582,0.83451,-4.951159954,71.46377563476562,96.89725494384766,0.867469847,2.2545418739318848,3.5792012214660645,97.17665100097656,-5.286681652,1.0272448062896729,0.9980844259262084,0.9617744088172911,0.9770221710205078,0.016328765,0.2013627886772155,0.0117944655939936,0.0136634074151515,0.571884274,0.9974919557571412,0.9963562488555908,0.9990004897117616,0.9999018907546996,0.2957655191421509,360.16985926000007,0,3.7276000000000016,27,7,2,6,4,106.34940000000005,27,76.89,-9.48
Cc1ccc(Nc2nc(NCC3CCCO3)nc(N)c2[N+](=O)[O-])cc1C,30,MCULE-1459085344-DMCH,MCULE-FULL,539686,0.83421,-5.569875717,82.54597473144531,62.42631149291992,5.581322193145752,2.690045118331909,2.6800081729888916,85.82003784179688,-4.836304665,2.583735466003418,0.9976586103439332,0.868057907,0.99874109,0.001260213,0.5762880444526672,0.001024844,0.000464168,0.2931941449642181,0.097621478,0.998474419116974,0.9923673272132874,0.9795030355453492,0.097254902,358.17533856399996,0,2.9183400000000006,26,8,3,6,3,99.76120000000004,26,128.23000000000002,-8.856
