smiles,id-num,id,database,db_id,similarity,caco2_wang,clearance_hepatocyte_az,clearance_microsome_az,half_life_obach,ld50_zhu,lipophilicity_astrazeneca,ppbr_az,solubility_aqsoldb,vdss_lombardo,ames,bbb_martins,bioavailability_ma,cyp2c9_substrate_carbonmangels,cyp2c9_veith,cyp2d6_substrate_carbonmangels,cyp2d6_veith,cyp3a4_substrate_carbonmangels,cyp3a4_veith,dili,herg,hia_hou,pgp_broccatelli,molecular_weight,formal_charge,clogp,heavy_atoms,h_bond_acceptors,h_bond_donor,rotatable_bonds,num_of_rings,molar_refractivity,number_of_atoms,topological_surface_area_mapping
COCCCNc1nc(Nc2cc(C)c(Br)cc2C)c2cnn(C)c2n1,169,MCULE-2375172270-DMCH,MCULE-FULL,21588053,0.82272,-4.96018219,33.28968811035156,66.47734832763672,54.89875411987305,2.498601198196411,2.3662545680999756,94.14437103271484,-4.513081551,8.570927619934082,0.6960594654083252,0.9978933930397034,0.9995705485343933,0.007479944,0.9470486044883728,0.012949873693287373,0.4785940945148468,0.9987369179725647,0.9886273741722107,0.2914900481700897,0.9998781681060791,0.9996353387832642,0.6256062388420105,418.11167145600007,0,3.9346400000000017,26,7,2,7,3,108.18540000000004,26,76.89
CCCCCNc1nc(Nc2ccccc2O)c2cnn(C)c2n1,170,MCULE-9761299458-DMCH,MCULE-FULL,21579220,0.8227,-5.052895546,56.22505569458008,70.87976837158203,31.55150032043457,2.564124822616577,2.8595874309539795,91.89120483398438,-4.0727458,2.591310739517212,0.44696280360221863,0.5106295347213745,0.9984349608421326,0.042178791016340256,0.7118532061576843,0.012226915918290615,0.42370012402534485,0.9962331652641296,0.9884273409843445,0.6434887051582336,0.9944263696670532,0.9998028874397278,0.053412367,326.1855093,0,3.414600000000001,24,7,3,7,3,95.70820000000003,24,87.89
CC(C)CCNc1nc(Nc2ccc(F)cc2)c2cnn(C)c2n1,171,MCULE-7628693113-DMCH,MCULE-FULL,21581626,0.82262,-4.808069706,72.78488159179688,65.65877532958984,7.611510276794434,2.5875983238220215,2.3037307262420654,93.98831176757812,-3.813268185,6.522343635559082,0.8983625173568726,0.9900548458099365,0.9986942410469055,0.026316886767745018,0.424073189,0.5923289060592651,0.16570809483528137,0.9668272733688354,0.086082205,0.5771116614341736,0.9538124799728394,0.9999361038208008,0.027338305488228798,328.18117289200006,0,3.7040000000000015,24,6,2,6,3,93.93140000000004,24,67.66
Cc1ccc(CNc2nc(NCCO)nc3c2cnn3C)cc1,172,MCULE-9485249852-DMCH,MCULE-FULL,7789563,0.82254,-5.262839794,59.16896057128906,51.22447204589844,4.178701877593994,2.338165283203125,2.387312173843384,76.73642731,-2.452328444,2.4923996925354004,0.21535730361938477,0.9359237551689148,0.9996669292449951,0.20085181295871735,0.010646647773683071,0.2093515545129776,0.46865931153297424,0.9560897350311279,0.1272224634885788,0.7176464200019836,0.9772079586982727,0.9998646974563599,0.000531765,312.1698593,0,1.6880199999999996,23,7,3,6,3,90.38520000000001,23,87.89000000000001
Cc1ccc(Nc2nc(NCCCNC=O)nc3c2cnn3C)cc1,173,MCULE-9085351913-DMCH,MCULE-FULL,21598307,0.8225,-5.314608574,44.17210388183594,40.00204849243164,20.948123931884766,2.634143352508545,2.058927059173584,84.04643249511719,-3.60058856,0.7424736022949219,0.223311648,0.7806130647659302,0.9829634428024292,0.096628807,0.022496843710541725,0.4541375935077667,0.11224942654371262,0.9948651194572449,0.8280754685401917,0.7050989270210266,0.9941691160202026,0.9949177503585815,0.008150715,339.18075829200006,0,1.9633199999999993,25,7,3,8,3,97.93910000000004,25,96.76000000000002
Cc1ccc(Nc2nc(NCCc3ccccc3)nc3nccnc23)cc1,174,MCULE-5548274226-DMCH,MCULE-FULL,850482,0.82247,-4.992289543,84.90831756591797,50.02443313598633,13.194793701171875,2.543161153793335,2.757751465,98.67959594726562,-4.317601204,3.6807024478912354,0.9954469799995422,0.8208432793617249,0.9514145851135254,0.010135759599506855,0.17625847458839417,0.2496955841779709,0.7894346117973328,0.2829696536064148,0.9991663694381714,0.9714154005050659,0.9946086406707764,0.9998113512992859,0.7356038093566895,356.17494464000004,0,4.126420000000002,27,6,2,6,4,108.22540000000002,27,75.62
COc1ccc(Nc2nc(NCCO)nc3c2ncn3C)cc1,175,MCULE-8261378486-DMCH,MCULE-FULL,2792739,0.82246,-5.172013283,49.57432938,28.862834930419922,0.8542127013206482,2.2111246585845947,1.7752346992492676,77.62085723876953,-2.822060823,1.6160144805908203,0.7752242088317871,0.28064489364624023,0.9172059893608093,0.1276881843805313,0.005636909,0.18361197412014008,0.4850984811782837,0.9925045967102051,0.9704428315162659,0.7798083424568176,0.9938122034072876,0.9998519420623779,0.006929934,314.1491238,0,1.5196999999999996,23,8,3,6,3,88.15620000000001,23,97.12
COCCCNc1nc(Nc2ccccc2Cl)c2cnn(C)c2n1,176,MCULE-7834380486-DMCH,MCULE-FULL,21586424,0.82244,-4.589100361,35.43122863769531,43.05490493774414,28.646404266357422,2.446748733520508,2.6274471282958984,89.05491638183594,-4.212460995,4.982347011566162,0.9908488988876343,0.998306155,0.9997603297233582,0.003560455,0.1078551635146141,0.010073672980070114,0.12241039425134659,0.9593403339385986,0.9414811134338379,0.611757755,0.999126136,0.9996939897537231,0.004531763,346.1308869080001,0,3.208700000000001,24,7,2,7,3,96.02140000000006,24,76.89
COCCCNc1nc(Nc2ccccc2C)c2cnn(C)c2n1,177,MCULE-3393993801-DMCH,MCULE-FULL,781384,0.82244,-4.48355341,67.23883056640625,53.44029617,35.09971237182617,2.342364788,2.4731812477111816,90.12840270996094,-4.371943951,5.3263421058654785,0.99873656,0.9995313882827759,0.9997695088386536,0.005034228,0.034922156,0.022935224696993828,0.1593678891658783,0.9980829954147339,0.8177626729011536,0.32270923256874084,0.9947785139083862,0.9996939897537231,0.045548037,326.1855093,0,2.8637200000000007,24,7,2,7,3,95.74840000000005,24,76.89
COCCNc1nc(Nc2ccccc2)c2nccnc2n1,178,MCULE-5609377081-DMCH,MCULE-FULL,850435,0.82244,-4.818744659,64.67330169677734,42.43716812133789,2.3413028717041016,2.6169655323028564,2.539486885070801,81.42375946044922,-3.956586361,3.195692539215088,0.9533048868179321,0.9448850154876709,0.9980161190032959,0.003646631,0.014057009480893612,0.015463778,0.064489938,0.065142095,0.087302782,0.9845073223114014,0.963967502,0.9999169111251831,0.066480741,296.1385591,0,2.2217000000000002,22,7,2,6,3,85.21840000000003,22,84.85000000000001
Cc1c(Cl)cccc1Nc1nc(NCCCO)nc2c1cnn2C,179,MCULE-2999630678-DMCH,MCULE-FULL,21574654,0.82222,-5.186853886,44.55052947998047,19.086864471435547,24.213186264038086,2.811180353164673,2.873467206954956,93.27897644042969,-3.685971498,4.776573181152344,0.9533367156982422,0.9865283966064453,0.9994953870773315,0.006636679,0.12393917888402939,0.011750292032957077,0.5896105170249939,0.933607817,0.7018846273422241,0.31277981400489807,0.9930809140205383,0.9994136095046997,0.000409531,346.13088690800004,0,2.8630200000000006,24,7,3,6,3,95.96820000000002,24,87.89000000000001
CC(O)CNc1nc(Nc2ccc(OC(C)C)cc2)c2cnn(C)c2n1,180,MCULE-1626896010-DMCH,MCULE-FULL,21577475,0.82213,-5.478559017,46.001766204833984,65.77085114,17.833662033081055,2.4723925590515137,2.3229401111602783,91.39671325683594,-3.71168828,1.3326845169067383,0.43963396549224854,0.9276655912399292,0.982584536,0.3095506429672241,0.6025112271308899,0.19962766766548157,0.025991607,0.9956183433532715,0.9577537775039673,0.5426205992698669,0.9376526474952698,0.9995187520980835,0.264104426,356.19607400800004,0,2.6868000000000007,26,8,3,7,3,101.96320000000006,26,97.11999999999999
COCCCNc1nc(Nc2ccc(O)cc2)c2cnn(C)c2n1,181,MCULE-4477767058-DMCH,MCULE-FULL,21586204,0.82203,-4.896629333,40.19566345214844,25.396690368652344,3.4484097957611084,2.2219836711883545,2.242448091506958,88.43642426,-3.247231007,2.491946220397949,0.9760209321975708,0.877676785,0.999444306,0.005233911,0.051740345,0.6194800138473511,0.034227684,0.7261704206466675,0.9893596172332764,0.2958022356033325,0.9946528673171997,0.999688983,0.038719721138477325,328.16477388000004,0,2.2609000000000004,24,8,3,7,3,92.67620000000004,24,97.11999999999999
COc1ccc(Nc2nc(NCCC(C)C)nc3c2cnn3C)cc1,182,MCULE-2943017886-DMCH,MCULE-FULL,1881819,0.82176,-5.015257359,61.836490631103516,86.25640869140625,29.031261444091797,2.6281967163085938,2.475095034,92.92189789,-4.186249733,2.739137649536133,0.9944614171981812,0.9985899329185486,0.9734931588172913,0.059337065,0.8769927024841309,0.4728725254535675,0.061797813,0.9847619533538818,0.9620705842971802,0.4111286699771881,0.9918621778488159,0.9997636675834656,0.18031710386276245,340.2011594,0,3.573500000000002,25,7,2,7,3,100.52540000000005,25,76.89000000000001
COc1ccc(Nc2nc(NCCCO)nc3nccnc23)cc1,183,MCULE-3828183424-DMCH,MCULE-FULL,850512,0.82172,-5.357263565,23.62500572,35.79376983642578,4.6570048332214355,2.543278932571411,2.4891648292541504,83.05317687988281,-3.734495878,2.314713478088379,0.9456275105476379,0.8816772699356079,0.9990289211273193,0.039337881,0.001479222,0.050319344,0.30944594740867615,0.27154117822647095,0.9992926120758057,0.8590934872627258,0.9868603348731995,0.9996036887168884,0.003836934,326.14912381600004,0,1.9662999999999995,24,8,3,7,3,91.59720000000002,24,105.08
CC(=O)NCCNc1nc(Nc2ccc(Br)cc2C)c2cnn(C)c2n1,184,MCULE-6058248587-DMCH,MCULE-FULL,21597639,0.8217,-5.516221523,31.982505798339844,39.025367736816406,2.0291576385498047,2.4378716945648193,2.3112781047821045,95.67333221435547,-3.77844882,2.561781883239746,0.4821350574493408,0.9244734048843384,0.9889472723007202,0.003185017,0.7356507182121277,0.007089269,0.003926205,0.9971889853477478,0.9622769355773926,0.5109838247299194,0.9970809817314148,0.9984917640686035,0.16232147812843323,417.09127036000007,0,2.7258200000000006,26,7,3,6,3,105.63910000000003,26,96.76
CC(C)CCNc1nc(Nc2ccc(I)cc2)c2cnn(C)c2n1,185,MCULE-4885687051-DMCH,MCULE-FULL,21583707,0.82169,-5.066729546,52.19600296020508,77.38693237304688,129.89578247070312,2.7606420516967773,2.7196109294891357,99.55620574951172,-3.818213701,5.631136417388916,0.5768172144889832,0.7677803635597229,0.9985426664352417,0.032064408,0.4442387819290161,0.27379846572875977,0.2387339323759079,0.97351712,0.7055137157440186,0.5062069892883301,0.9317260384559631,0.9998568296432495,0.21049626171588898,436.08724267200006,0,4.169500000000003,24,6,2,6,3,106.69040000000004,24,67.66
CC(=O)c1cccc(Nc2nc(NCC3CCCO3)c3ccccc3n2)c1,186,MCULE-4495599770-DMCH,MCULE-FULL,1117692,0.82157,-5.035397053,95.54802703857422,97.05235290527344,29.32626724243164,2.5709662437438965,3.8182783126831055,97.06151580810547,-3.964712381,4.923070430755615,0.9699060916900635,0.9985874891281128,0.999235988,0.045460604,0.9285473227500916,0.014931121841073036,0.9507740139961243,0.4401454031467438,0.9641321301460266,0.9838665127754211,0.9994269609451294,0.9999381303787231,0.9572272896766663,362.1742759,0,4.166900000000003,27,6,2,6,4,106.73090000000003,27,76.14
COCCCNc1nc(Nc2ccc(F)cc2Cl)c2cnn(C)c2n1,187,MCULE-1152727624-DMCH,MCULE-FULL,21586762,0.82151,-4.46849823,41.17018508911133,41.45007324,25.341115951538086,2.6412527561187744,2.4919962882995605,91.15396881103516,-4.098113537,4.787059783935547,0.9913226366043091,0.9993671774864197,0.9954143762588501,0.001506012,0.33196693658828735,0.051981494,0.1587628871202469,0.9829879999160767,0.974128008,0.571885884,0.9996250867843628,0.9995670914649963,0.002913182,364.12146509600007,0,3.347800000000001,25,7,2,7,3,95.97940000000004,25,76.89
COCCNc1nc(Nc2ccc(C)cc2Br)c2cnn(C)c2n1,188,MCULE-4989777382-DMCH,MCULE-FULL,21573503,0.8215,-4.917617798,42.05459976196289,83.98204040527344,14.37147045135498,2.4201316833496094,2.3322365283966064,92.66251373291016,-3.511123896,5.984731197357178,0.8999747633934021,0.954389751,0.999588668,0.005075299,0.9390391111373901,0.007990406,0.040367398,0.9953057169914246,0.9918820261955261,0.8245841860771179,0.9977473616600037,0.9994301199913025,0.003357169,390.08037132800007,0,3.2361200000000014,24,7,2,6,3,98.83140000000003,24,76.89
CCOCCCNc1cc(C(C)C)nc2nc(-c3cccnc3)nn12,189,MCULE-1088554226-DMCH,MCULE-FULL,2894394,0.82146,-4.782821655,86.89014434814453,87.45488739013672,47.92356491088867,2.4153709411621094,2.160130262374878,87.90437316894531,-4.283306599,2.5912885665893555,0.9994595646858215,0.9961273074150085,0.9865787625312805,0.000393642,0.081352443,0.039776816964149475,0.001265831,0.7320652604103088,0.073917113,0.20742617547512054,0.9998584985733032,0.9997492432594299,0.031905785,340.20115938800006,0,3.148200000000002,25,7,1,8,3,97.70170000000005,25,77.22999999999999
Cc1cc(Cl)ccc1Nc1nc(NCCOC(C)C)nc2c1cnn2C,190,MCULE-3077434981-DMCH,MCULE-FULL,21603848,0.82137,-5.09072876,60.418582916259766,73.24566650390625,62.354679107666016,2.6886301040649414,3.198983669281006,97.80878448486328,-4.268687248,4.878591060638428,0.16641433537006378,0.9979971051216125,0.9969603419303894,0.00955884,0.9346912503242493,0.050046633929014206,0.077665396,0.9967365860939026,0.9319487810134888,0.4187791645526886,0.9999562501907349,0.9998829364776611,0.087807611,374.1621870360001,0,3.9056200000000025,26,7,2,7,3,105.35340000000005,26,76.89000000000001
Cc1ccc(Nc2nc(NCCN(C)C)nc3c2cnn3C)c(O)c1,191,MCULE-3222008187-DMCH,MCULE-FULL,21584129,0.82128,-5.494158268,61.266578674316406,30.81133270263672,7.897219657897949,2.5809388160705566,2.045058488845825,74.24591064453125,-2.705268621,0.99156177,0.3778938949108124,0.2590335011482239,0.9818353652954102,0.016363045200705528,0.006859976,0.16268649697303772,0.6753455996513367,0.9890538454055786,0.8473659753799438,0.4584487974643707,0.916097105,0.9987068176269531,0.062186818569898605,341.1964084,0,2.0944199999999995,25,8,3,6,3,99.47420000000004,25,91.13000000000001
CCOC(=O)C1CCCN(c2nc(Nc3ccc(CC)cc3)c3cnn(C)c3n2)C1,192,MCULE-6758839707-DMCH,MCULE-FULL,9124313,0.82127,-5.246478081,68.65113067626953,79.82837677001953,7.541285991668701,2.7807071208953857,3.068117618560791,88.95401000976562,-4.284902096,2.532900094985962,0.9984855055809021,0.9977924823760986,0.9955293536186218,0.000353874,0.077924088,0.15972505509853363,0.054343037,0.9783850908279419,0.8966784477233887,0.6580941081047058,0.999396801,0.9997392296791077,0.9917588829994202,408.22737413600004,0,3.448800000000002,30,8,1,6,4,116.97670000000006,30,85.17
OCCN1CCN(Nc2nc(Nc3ccccc3)c3nccnc3n2)CC1,193,MCULE-8741419500-DMCH,MCULE-FULL,3685377,0.82126,-5.569667816,38.36652374267578,45.811370849609375,5.5226006507873535,2.8437716960906982,0.8813873529434204,64.07486724853516,-2.358277082,2.7218074798583984,0.9464492797851562,0.9732053875923157,0.9889436960220337,0.004262408,0.46594804525375366,0.6882256269454956,0.00255078,0.7708051204681396,0.6880655884742737,0.8111549615859985,0.9958914518356323,0.9996891021728516,0.004135727,366.19165732400006,0,1.1001999999999992,27,9,3,6,4,103.57420000000005,27,102.33000000000001
