smiles,id-num,vina_affinity,boltz_affinity_kcalmol,avg_affinity_pred_value,avg_affinity_probability_binary,combined_score
CCc1ccc(Nc2nc(NCCO)c3ccccc3n2)cc1,20,-8.876,7.769429812709491,0.3039370874563853,0.3987788657347361,-8.322714906354745
CC(=O)NCCNc1nc(Nc2ccc(C)cc2Br)c2cnn(C)c2n1,68,-8.914,7.726588986357054,0.335345317920049,0.2462175786495208,-8.320294493178526
O=C(O)CCCCNc1nc(-c2ccc(Cl)cc2)nc2c1CCC2,216,-9.101,7.536525210976601,0.4746882617473602,0.1104526668787002,-8.3187626054883
Cc1cc(O)ccc1Nc1nc(NCCOC(C)C)nc2c1cnn2C,225,-8.887,7.738768642763297,0.3264159510533015,0.229609340429306,-8.312884321381649
CC(C)CCNc1nc(Nc2ccccc2Br)c2cnn(C)c2n1,58,-8.923,7.66126952290535,0.3832334876060486,0.2856717606385549,-8.292134761452676
CCCCNc1nc(Nc2ccc(F)cc2F)c2cnn(C)c2n1,275,-8.796,7.777429263075193,0.2980723877747853,0.2032228410243988,-8.286714631537595
Cc1ccc(Nc2nc(NCc3ccccc3)nc(N3CC(O)C3)n2)cc1,235,-9.44,7.1260917135079715,0.775592585404714,0.194379448890686,-8.283045856753986
CC(C)CCNc1nc(Nc2ccc(F)c(F)c2F)c2cnn(C)c2n1,21,-9.05,7.515450637578965,0.490138828754425,0.1409878730773925,-8.282725318789483
Cc1ccc(Nc2nc(NCCCO)nc3[nH]nnc23)cc1,111,-8.129,8.408297746797404,-0.1644411633412043,0.7958582639694214,-8.268648873398702
CC(=O)NCCNc1nc(Nc2ccc(C)cc2C)c2cnn(C)c2n1,141,-9.343,7.193718532482783,0.7260128060976664,0.2167858531077703,-8.268359266241392
COC(=O)CCCNc1nc(-c2ccc(C)cc2)nc2c1CCCC2,162,-9.152,7.378321554263434,0.5906733473141988,0.107718334843715,-8.265160777131717
CCCCNc1nc(Nc2ccc(F)c(F)c2F)c2cnn(C)c2n1,51,-8.895,7.633696297168732,0.4034484624862671,0.1763654003540674,-8.264348148584366
COc1ccc(Nc2nc(NCC3CCCO3)nc3nccnc23)cc1,2,-8.989,7.539313141922156,0.4726443241039912,0.6168136795361837,-8.264156570961077
CC(=O)NCCNc1nc(Nc2ccccc2Br)c2cnn(C)c2n1,208,-9.033,7.486761938651404,0.5111715992291769,0.335522507627805,-8.259880969325701
CCOC(=O)C1CCCN(c2nc(Nc3ccc(OC)cc3)c3cnn(C)c3n2)C1,287,-9.215,7.301100218693415,0.6472872296969095,0.2042499184608459,-8.258050109346708
CC(=O)NCCNc1nc(Nc2ccc(Br)cc2C)c2cnn(C)c2n1,184,-8.924,7.58129789185524,0.4418637156486511,0.2114832699298858,-8.25264894592762
Cc1cccc(Nc2nc(NCCCN(C)C)nc3c2cnn3C)c1,285,-8.447,8.056828566402197,0.0932341888546943,0.3175320575634638,-8.2519142832011
Cc1ccc(O)c(Nc2nc(NCCOC(C)C)nc3c2cnn3C)c1,62,-8.645,7.858179545144241,0.2388713012139002,0.2466573715209961,-8.251589772572121
COc1cccc(Nc2nc(NCC3CCCO3)c3ccccc3n2)c1,16,-9.393,7.086935978492102,0.8042991360028585,0.3848242660363515,-8.23996798924605
COc1ccc(Nc2nc(NCCCO)nc3[nH]ncc23)cc1,94,-7.838,8.637490095973016,-0.3324707448482513,0.7014187773068746,-8.237745047986508
Cc1cc(Cl)ccc1Nc1nc(NCCCNC=O)nc2c1cnn2C,212,-8.725,7.743290664196015,0.3231006860733032,0.2178577830394109,-8.234145332098008
Cn1ncc2c(Nc3ccc(C#N)cc3)nc(NCCCO)nc21,84,-8.265,8.200041509091855,-0.0117606371641159,0.3205279062191645,-8.232520754545927
CC(=O)NCCNc1nc(Nc2ccc(O)cc2C)c2cnn(C)c2n1,146,-9.223,7.238778326908747,0.692977766195933,0.2542783518632253,-8.230889163454375
COc1ccc(CNc2cc(Nc3ccc(Cl)cc3C)nc(C)n2)cc1,246,-9.276,7.175688739379248,0.7392311294873556,0.2289862086375554,-8.225844369689623
COCCNc1nc(Nc2cc(C)ccc2O)c2cnn(C)c2n1,260,-8.56,7.87997321677208,0.2228935360908508,0.2364780555168787,-8.21998660838604
CC(C)CCNc1nc(Nc2cccc(C#N)c2)c2cnn(C)c2n1,194,-8.44,7.992136343205969,0.1406625049809614,0.1705043738087018,-8.216068171602984
CCCCNc1nc(Nc2ccc(C)cc2O)c2cnn(C)c2n1,83,-8.501,7.929327986776829,0.1867096871137619,0.2673563907543818,-8.215163993388414
COc1ccc(CNc2nc(Nc3ccc(C)cc3O)c3cnn(C)c3n2)cc1,59,-9.658,6.759076101462046,1.0446656147638955,0.2221004366874694,-8.208538050731022
COc1ccc(Nc2nc(NCc3ccco3)c3ccccc3n2)cc1,73,-9.234,7.180306810855866,0.7358454465866089,0.4668447275956471,-8.207153405427933
Cc1ccccc1Nc1nc(NCCN(C)C)nc2c1cnn2C,282,-8.978,7.42357103346785,0.5574992423256239,0.166193351149559,-8.200785516733925
CC(=O)NCCNc1nc(Nc2ccc(Cl)cc2C)c2cnn(C)c2n1,142,-9.094,7.281349316120148,0.6617673635482788,0.2095323503017425,-8.187674658060073
CC(=O)NCCNc1nc(Nc2ccccc2Cl)c2cnn(C)c2n1,66,-9.058,7.307261161327363,0.6427704095840454,0.2129498173793157,-8.18263058066368
Cc1ccc(CNc2nc(Nc3cccc4ccccc34)nc(N(C)C)n2)cc1,283,-9.863,6.50213715950648,1.233037273089091,0.2867684662342071,-8.18256857975324
c1ccc(-c2cc(NCC3(Cn4cccn4)CC3)n3nccc3n2)cc1,6,-8.598,7.763356336116791,0.3083897829055786,0.3610568344593048,-8.180678168058396
COc1ccc(Nc2nc(NCCO)c3ccccc3n2)cc1,114,-8.603,7.753629854877791,0.3155206342538197,0.4881773094336192,-8.178314927438896
COc1ccc(Nc2nc(NCC3CCCO3)c3ccccc3n2)cc1,1,-9.253,7.098130656162898,0.796091894308726,0.4466029902299245,-8.175565328081449
CN(C)CCCNc1nc(Nc2ccc(Cl)cc2)c2cnn(C)c2n1,271,-8.037,8.308141487300396,-0.0910128206014633,0.1917278617620468,-8.172570743650198
CCCCCNc1nc(Nc2cc(F)ccc2F)c2cnn(C)c2n1,22,-8.828,7.514620137015979,0.4907477001349131,0.1442732512950897,-8.171310068507989
Cc1c(Cl)cccc1Nc1nc(NCCCNC=O)nc2c1cnn2C,237,-8.688,7.61418322634697,0.4177542328834533,0.1753480384747187,-8.151091613173485
